申請ID,申請日,申請者社員ID,案件コード,変更種別,影響度,ステータス
B1455,2025-01-20,E108,P004,コスト変更,低,承認待ち
B1456,2025-09-19,E102,P002,仕様変更,低,申請中
B1457,2025-05-08,E106,P002,仕様変更,高,承認待ち
B1458,2025-06-16,E105,P002,部品変更,中,承認待ち
B1459,2025-11-02,E103,P006,コスト変更,低,承認済
B1460,2025-03-09,E105,P006,仕様変更,低,却下
B1461,2025-11-27,E105,P001,部品変更,低,承認済
B1462,2025-06-08,E103,P005,仕様変更,低,承認待ち
B1463,2025-11-23,E103,P005,コスト変更,低,承認済
B1464,2025-03-15,E102,P001,コスト変更,高,承認待ち
B1465,2025-01-21,E103,P002,部品変更,高,承認待ち
B1466,2025-10-18,E103,P002,仕様変更,中,却下
B1467,2025-05-06,E103,P002,コスト変更,高,承認待ち
B1468,2025-05-10,E108,P004,部品変更,中,却下
B1469,2025-02-12,E106,P004,部品変更,中,却下
B1470,2025-07-17,E108,P006,コスト変更,高,却下
B1471,2025-01-25,E106,P004,仕様変更,中,承認待ち
B1472,2025-09-24,E103,P003,コスト変更,中,承認済
B1473,2025-08-10,E106,P005,コスト変更,高,承認済
B1474,2025-03-23,E106,P002,部品変更,高,申請中
B1475,2025-01-28,E108,P006,図面修正,中,却下
B1476,2025-07-13,E105,P004,コスト変更,中,申請中
B1477,2025-07-02,E102,P004,部品変更,高,却下
B1478,2025-05-25,E105,P005,コスト変更,低,承認済
B1479,2025-12-02,E106,P004,部品変更,高,却下
B1480,2025-01-27,E105,P006,仕様変更,低,承認待ち
B1481,2025-05-20,E106,P006,部品変更,中,承認待ち
B1482,2025-10-19,E103,P001,仕様変更,高,却下
B1483,2025-07-23,E108,P001,部品変更,中,承認待ち
B1484,2025-07-09,E105,P005,コスト変更,低,承認済
B1485,2025-12-14,E102,P001,図面修正,高,承認済
B1486,2025-12-07,E106,P006,図面修正,高,承認待ち
B1487,2025-08-01,E102,P001,コスト変更,低,却下
B1488,2025-11-10,E106,P002,部品変更,中,承認待ち
B1489,2025-12-05,E103,P004,部品変更,低,申請中
B1490,2025-08-19,E103,P002,部品変更,高,承認待ち
B1491,2025-04-09,E106,P004,仕様変更,低,承認待ち
B1492,2025-02-10,E102,P004,仕様変更,中,申請中
B1493,2025-06-01,E108,P002,コスト変更,中,申請中
B1494,2025-01-02,E105,P001,仕様変更,高,承認待ち
B1495,2025-09-26,E102,P004,図面修正,中,却下
B1496,2025-06-20,E106,P003,図面修正,低,承認済
B1497,2025-06-27,E103,P003,コスト変更,中,申請中
B1498,2025-06-28,E105,P001,仕様変更,中,却下
B1499,2025-12-27,E103,P001,仕様変更,低,承認済
B1500,2025-12-25,E103,P003,コスト変更,低,却下
B1501,2025-09-14,E103,P001,図面修正,高,承認済
B1502,2025-01-26,E105,P006,コスト変更,高,却下
B1503,2025-07-24,E108,P001,図面修正,中,却下
B1504,2025-11-28,E102,P006,コスト変更,中,承認待ち
B1505,2025-12-05,E108,P005,仕様変更,高,却下
B1506,2025-02-10,E108,P004,部品変更,中,申請中
B1507,2025-08-22,E108,P002,部品変更,高,承認待ち
B1508,2025-11-23,E102,P001,コスト変更,低,申請中
B1509,2025-03-11,E106,P003,部品変更,低,承認済
B1510,2025-11-16,E102,P006,部品変更,低,却下
B1511,2025-02-26,E105,P002,仕様変更,低,承認済
B1512,2025-07-23,E106,P006,コスト変更,高,承認待ち
B1513,2025-05-04,E105,P001,仕様変更,高,承認済
B1514,2025-12-19,E103,P006,仕様変更,低,承認済
B1515,2025-03-28,E105,P004,仕様変更,中,申請中
B1516,2025-10-18,E103,P004,コスト変更,中,承認済
B1517,2025-11-26,E103,P005,部品変更,高,却下
B1518,2025-01-18,E106,P003,部品変更,中,承認待ち
B1519,2025-08-22,E106,P002,図面修正,高,申請中
B1520,2025-10-11,E105,P005,仕様変更,中,却下
B1521,2025-11-27,E103,P004,図面修正,低,却下
B1522,2025-01-26,E105,P002,部品変更,低,承認待ち
B1523,2025-12-24,E102,P002,コスト変更,低,却下
B1524,2025-05-27,E103,P001,コスト変更,中,却下
B1525,2025-11-16,E105,P004,コスト変更,高,承認済
B1526,2025-05-23,E103,P006,コスト変更,高,承認待ち
B1527,2025-06-25,E108,P001,図面修正,中,承認待ち
B1528,2025-10-05,E106,P006,コスト変更,中,承認待ち
B1529,2025-04-07,E103,P006,仕様変更,中,申請中
B1530,2025-11-26,E103,P004,コスト変更,低,承認待ち
B1531,2025-01-04,E105,P004,部品変更,高,申請中
B1532,2025-09-21,E105,P005,コスト変更,高,却下
B1533,2025-04-02,E102,P002,コスト変更,中,承認済
B1534,2025-12-20,E103,P006,コスト変更,低,申請中
B1535,2025-08-28,E106,P003,コスト変更,中,申請中
B1536,2025-02-04,E102,P001,コスト変更,低,承認待ち
B1537,2025-01-19,E108,P005,コスト変更,中,申請中
B1538,2025-10-06,E106,P004,コスト変更,中,承認待ち
B1539,2025-02-11,E102,P006,部品変更,中,申請中
B1540,2025-07-18,E108,P005,コスト変更,高,申請中
B1541,2025-04-22,E102,P002,部品変更,高,却下
B1542,2025-06-04,E102,P002,部品変更,低,承認待ち
B1543,2025-02-18,E105,P001,仕様変更,高,承認済
B1544,2025-06-18,E103,P004,仕様変更,高,承認済
B1545,2025-01-17,E105,P006,コスト変更,高,却下
B1546,2025-12-11,E108,P003,部品変更,低,申請中
B1547,2025-11-27,E102,P002,仕様変更,高,承認待ち
B1548,2025-05-28,E103,P002,部品変更,低,承認済
B1549,2025-05-05,E108,P004,仕様変更,低,承認済
B1550,2025-05-13,E103,P004,コスト変更,高,承認済
B1551,2025-11-14,E103,P005,部品変更,高,承認済
B1552,2025-11-23,E103,P006,図面修正,低,承認待ち
B1553,2025-07-27,E103,P003,コスト変更,中,申請中
B1554,2025-10-08,E102,P003,仕様変更,低,申請中
B1555,2025-11-18,E106,P001,図面修正,低,申請中
B1556,2025-06-11,E105,P002,部品変更,中,申請中
B1557,2025-02-13,E103,P004,仕様変更,高,承認待ち
B1558,2025-09-24,E105,P005,コスト変更,高,承認済
B1559,2025-12-19,E105,P005,図面修正,低,申請中
B1560,2025-01-06,E105,P004,部品変更,中,却下
B1561,2025-08-19,E103,P003,仕様変更,低,承認待ち
B1562,2025-11-05,E103,P004,図面修正,高,承認済
B1563,2025-12-25,E103,P006,コスト変更,低,却下
B1564,2025-03-15,E105,P004,図面修正,中,却下
B1565,2025-09-23,E103,P003,仕様変更,中,却下
B1566,2025-06-28,E102,P006,仕様変更,高,承認待ち
B1567,2025-02-06,E108,P001,仕様変更,低,承認済
B1568,2025-09-16,E102,P004,部品変更,中,却下
B1569,2025-09-22,E108,P006,仕様変更,中,申請中
B1570,2025-10-07,E102,P006,コスト変更,低,承認済
B1571,2025-04-24,E108,P006,仕様変更,低,却下
B1572,2025-03-22,E108,P002,部品変更,高,承認済
B1573,2025-03-17,E105,P001,コスト変更,中,却下
B1574,2025-03-12,E102,P003,部品変更,低,申請中
B1575,2025-05-10,E106,P003,図面修正,高,申請中
B1576,2025-12-21,E108,P004,部品変更,中,申請中
B1577,2025-08-20,E106,P001,図面修正,高,却下
B1578,2025-06-10,E105,P001,仕様変更,中,承認待ち
B1579,2025-07-12,E102,P001,コスト変更,中,承認待ち
B1580,2025-02-17,E108,P002,コスト変更,高,却下
B1581,2025-01-05,E105,P002,コスト変更,中,承認済
B1582,2025-05-12,E106,P002,図面修正,高,却下
B1583,2025-11-27,E106,P002,部品変更,中,却下
B1584,2025-01-12,E103,P001,部品変更,中,申請中
B1585,2025-03-13,E106,P006,図面修正,高,承認待ち
B1586,2025-11-07,E106,P006,図面修正,高,却下
B1587,2025-08-18,E106,P006,部品変更,中,却下
B1588,2025-09-24,E106,P002,仕様変更,高,申請中
B1589,2025-03-05,E105,P005,仕様変更,低,承認待ち
B1590,2025-01-22,E105,P004,仕様変更,中,却下
B1591,2025-05-10,E106,P001,コスト変更,高,承認待ち
B1592,2025-12-17,E103,P002,図面修正,高,承認済
B1593,2025-12-08,E106,P002,コスト変更,低,申請中
B1594,2025-12-24,E108,P005,部品変更,高,承認待ち
B1595,2025-04-04,E103,P004,仕様変更,中,承認待ち
B1596,2025-03-14,E102,P005,部品変更,高,申請中
B1597,2025-07-14,E108,P003,部品変更,高,承認済
B1598,2025-07-16,E102,P005,コスト変更,低,申請中
B1599,2025-05-04,E105,P003,図面修正,中,却下
B1600,2025-04-11,E102,P002,仕様変更,高,申請中
B1601,2025-11-24,E105,P002,図面修正,中,承認済
B1602,2025-10-04,E106,P002,図面修正,中,承認済
B1603,2025-06-10,E102,P001,仕様変更,低,承認待ち
B1604,2025-06-12,E105,P006,図面修正,高,承認済
B1605,2025-04-19,E106,P001,仕様変更,高,申請中
B1606,2025-01-19,E103,P002,コスト変更,高,申請中
B1607,2025-09-20,E105,P003,コスト変更,高,承認待ち
B1608,2025-01-05,E103,P004,図面修正,低,承認済
B1609,2025-06-15,E102,P004,仕様変更,中,却下
B1610,2025-09-17,E102,P002,図面修正,低,承認待ち
B1611,2025-05-02,E108,P001,部品変更,低,却下
B1612,2025-08-22,E108,P005,仕様変更,高,却下
B1613,2025-09-13,E108,P004,コスト変更,低,承認済
B1614,2025-04-06,E102,P002,部品変更,低,申請中
B1615,2025-09-15,E108,P006,図面修正,中,承認待ち
B1616,2025-05-23,E105,P005,仕様変更,高,承認待ち
B1617,2025-01-18,E103,P003,仕様変更,低,承認待ち
B1618,2025-05-05,E105,P001,部品変更,高,申請中
B1619,2025-01-21,E105,P006,図面修正,中,申請中
B1620,2025-12-18,E105,P006,部品変更,中,承認済
B1621,2025-06-02,E102,P003,部品変更,低,承認済
B1622,2025-03-09,E102,P005,仕様変更,低,却下
B1623,2025-11-09,E108,P005,部品変更,中,承認待ち
B1624,2025-06-09,E103,P005,コスト変更,高,却下
B1625,2025-04-24,E106,P003,部品変更,中,申請中
B1626,2025-08-06,E106,P002,部品変更,高,却下
B1627,2025-12-06,E105,P001,図面修正,高,承認待ち
B1628,2025-07-22,E108,P002,仕様変更,高,申請中
B1629,2025-07-08,E106,P006,コスト変更,高,承認待ち
B1630,2025-12-25,E102,P005,仕様変更,中,却下
B1631,2025-01-04,E102,P006,仕様変更,高,承認待ち
B1632,2025-02-09,E103,P006,仕様変更,高,申請中
B1633,2025-09-24,E105,P006,仕様変更,高,承認待ち
B1634,2025-08-25,E108,P004,部品変更,中,承認済
B1635,2025-08-05,E103,P001,図面修正,低,申請中
B1636,2025-01-27,E102,P001,図面修正,高,却下
B1637,2025-03-01,E103,P001,部品変更,中,却下
B1638,2025-03-12,E105,P002,コスト変更,低,申請中
B1639,2025-08-06,E102,P002,仕様変更,中,承認済
B1640,2025-02-20,E105,P001,図面修正,高,申請中
B1641,2025-10-05,E103,P004,図面修正,低,承認待ち
B1642,2025-11-14,E103,P006,図面修正,低,承認済
B1643,2025-06-04,E105,P004,図面修正,中,申請中
B1644,2025-01-28,E103,P006,部品変更,中,承認待ち
B1645,2025-07-15,E106,P001,仕様変更,低,却下
B1646,2025-12-09,E103,P001,図面修正,高,承認待ち
B1647,2025-07-12,E105,P004,コスト変更,中,却下
B1648,2025-10-26,E105,P002,部品変更,中,却下
B1649,2025-09-16,E108,P005,コスト変更,低,承認待ち
B1650,2025-07-03,E108,P006,コスト変更,低,承認待ち
B1651,2025-12-03,E103,P003,仕様変更,高,申請中
B1652,2025-06-18,E106,P002,仕様変更,高,承認済
B1653,2025-06-28,E103,P003,コスト変更,高,却下
B1654,2025-04-07,E103,P001,部品変更,高,承認待ち
B1655,2025-07-24,E102,P006,コスト変更,中,申請中
B1656,2025-12-04,E108,P001,コスト変更,低,承認待ち
B1657,2025-01-05,E105,P002,仕様変更,高,申請中
B1658,2025-01-19,E106,P002,部品変更,中,承認待ち
B1659,2025-12-17,E105,P004,コスト変更,低,承認済
B1660,2025-08-26,E102,P003,仕様変更,高,申請中
B1661,2025-11-02,E108,P002,部品変更,高,却下
B1662,2025-07-22,E106,P005,図面修正,低,承認済
B1663,2025-12-08,E106,P002,図面修正,高,却下
B1664,2025-03-24,E103,P004,仕様変更,高,却下
B1665,2025-03-27,E108,P005,仕様変更,低,却下
B1666,2025-08-11,E106,P004,部品変更,高,承認済
B1667,2025-11-14,E103,P003,仕様変更,高,申請中
B1668,2025-06-20,E105,P001,部品変更,中,承認待ち
B1669,2025-09-04,E102,P002,仕様変更,中,承認待ち
B1670,2025-09-07,E102,P002,図面修正,高,申請中
B1671,2025-10-26,E106,P001,仕様変更,中,申請中
B1672,2025-05-01,E105,P003,コスト変更,低,承認待ち
B1673,2025-06-25,E106,P006,図面修正,高,申請中
B1674,2025-06-14,E108,P001,部品変更,高,却下
B1675,2025-08-19,E102,P003,部品変更,高,却下
B1676,2025-02-21,E102,P006,部品変更,高,承認待ち
B1677,2025-12-06,E108,P005,図面修正,中,承認待ち
B1678,2025-06-10,E105,P005,コスト変更,高,却下
B1679,2025-04-07,E108,P005,仕様変更,高,却下
B1680,2025-02-26,E102,P002,図面修正,低,申請中
B1681,2025-08-04,E106,P003,部品変更,中,承認待ち
B1682,2025-02-09,E108,P003,図面修正,高,申請中
B1683,2025-03-23,E106,P003,コスト変更,中,却下
B1684,2025-11-05,E102,P005,コスト変更,高,承認済
B1685,2025-05-13,E106,P005,部品変更,中,承認済
B1686,2025-09-28,E108,P003,図面修正,高,却下
B1687,2025-09-15,E105,P006,仕様変更,低,申請中
B1688,2025-12-26,E103,P006,仕様変更,高,申請中
B1689,2025-05-13,E103,P005,コスト変更,高,承認待ち
B1690,2025-07-28,E106,P006,仕様変更,中,却下
B1691,2025-08-21,E108,P004,仕様変更,高,承認待ち
B1692,2025-12-04,E106,P004,部品変更,中,承認済
B1693,2025-02-11,E105,P005,コスト変更,高,却下
B1694,2025-02-09,E106,P001,部品変更,中,承認待ち
B1695,2025-11-07,E105,P005,仕様変更,低,却下
B1696,2025-01-26,E105,P004,コスト変更,高,申請中
B1697,2025-04-28,E102,P006,コスト変更,中,承認済
B1698,2025-11-06,E102,P002,仕様変更,中,却下
B1699,2025-02-10,E106,P004,部品変更,低,承認済
B1700,2025-03-27,E102,P001,コスト変更,中,承認済
B1701,2025-03-07,E105,P004,コスト変更,中,承認待ち
B1702,2025-12-14,E105,P006,コスト変更,高,承認待ち
B1703,2025-02-24,E108,P005,部品変更,中,承認済
B1704,2025-01-05,E106,P002,コスト変更,中,申請中
B1705,2025-11-14,E105,P005,仕様変更,中,承認待ち
B1706,2025-11-15,E108,P001,仕様変更,高,承認待ち
B1707,2025-07-23,E108,P002,コスト変更,高,承認済
B1708,2025-04-07,E108,P001,図面修正,中,申請中
B1709,2025-05-10,E108,P001,コスト変更,低,却下
B1710,2025-07-14,E105,P003,コスト変更,低,承認済
B1711,2025-02-06,E106,P004,図面修正,高,承認待ち
B1712,2025-09-14,E106,P003,コスト変更,低,承認済
B1713,2025-12-20,E102,P001,仕様変更,高,申請中
B1714,2025-10-14,E102,P004,仕様変更,低,却下
B1715,2025-09-19,E102,P006,図面修正,中,承認待ち
B1716,2025-04-25,E106,P005,コスト変更,高,承認待ち
B1717,2025-08-04,E105,P004,コスト変更,低,却下
B1718,2025-01-12,E103,P005,図面修正,中,承認済
B1719,2025-05-27,E106,P006,部品変更,高,却下
B1720,2025-01-01,E102,P002,図面修正,低,承認済
B1721,2025-06-06,E108,P004,部品変更,低,却下
B1722,2025-04-20,E106,P001,コスト変更,高,却下
B1723,2025-12-06,E106,P003,部品変更,中,承認待ち
B1724,2025-02-23,E103,P005,仕様変更,低,却下
B1725,2025-11-09,E108,P002,図面修正,高,申請中
B1726,2025-02-01,E106,P001,部品変更,高,申請中
B1727,2025-10-13,E102,P006,部品変更,中,承認済
B1728,2025-03-08,E103,P003,部品変更,低,承認待ち
B1729,2025-12-25,E106,P003,仕様変更,中,申請中
B1730,2025-03-21,E102,P006,仕様変更,高,却下
B1731,2025-10-04,E102,P002,図面修正,中,承認待ち
B1732,2025-02-03,E106,P003,部品変更,中,申請中
B1733,2025-08-26,E102,P004,仕様変更,中,申請中
B1734,2025-04-22,E106,P004,図面修正,低,却下
B1735,2025-03-06,E105,P001,部品変更,低,申請中
B1736,2025-02-11,E105,P004,仕様変更,高,承認済
B1737,2025-02-07,E108,P001,仕様変更,低,承認待ち
B1738,2025-04-28,E105,P001,部品変更,高,承認済
B1739,2025-03-08,E102,P006,部品変更,中,承認済
B1740,2025-08-07,E102,P003,図面修正,中,却下
B1741,2025-07-17,E106,P002,図面修正,高,承認待ち
B1742,2025-11-28,E105,P004,仕様変更,低,承認済
B1743,2025-03-26,E103,P006,コスト変更,中,却下
B1744,2025-07-20,E105,P003,仕様変更,低,却下
B1745,2025-07-07,E108,P003,図面修正,低,申請中
B1746,2025-08-06,E102,P005,図面修正,低,却下
B1747,2025-05-20,E108,P003,コスト変更,高,申請中
B1748,2025-03-26,E105,P004,部品変更,中,承認待ち
B1749,2025-02-07,E105,P003,部品変更,中,申請中
B1750,2025-01-11,E102,P006,図面修正,高,却下
B1751,2025-10-26,E105,P002,仕様変更,中,承認済
B1752,2025-10-07,E108,P002,仕様変更,低,承認済
B1753,2025-12-20,E102,P005,コスト変更,低,却下
B1754,2025-06-27,E105,P002,部品変更,高,却下
B1755,2025-08-02,E105,P004,仕様変更,高,却下
B1756,2025-03-20,E105,P005,コスト変更,高,申請中
B1757,2025-05-01,E108,P001,コスト変更,中,承認待ち
B1758,2025-07-02,E108,P005,仕様変更,中,申請中
B1759,2025-02-16,E102,P004,図面修正,中,承認済
B1760,2025-06-13,E102,P005,図面修正,中,申請中
B1761,2025-07-10,E106,P004,仕様変更,中,申請中
B1762,2025-01-08,E102,P001,部品変更,高,承認済
B1763,2025-12-24,E106,P002,部品変更,高,承認待ち
B1764,2025-12-26,E105,P005,仕様変更,低,申請中
B1765,2025-05-26,E102,P001,仕様変更,中,申請中
B1766,2025-05-11,E108,P004,図面修正,低,承認待ち
B1767,2025-03-19,E106,P001,部品変更,中,承認待ち
B1768,2025-10-28,E106,P006,コスト変更,低,申請中
B1769,2025-09-17,E103,P005,コスト変更,低,却下
B1770,2025-05-11,E106,P002,仕様変更,中,承認済
B1771,2025-12-03,E105,P005,部品変更,低,承認待ち
B1772,2025-12-03,E102,P004,仕様変更,高,申請中
B1773,2025-11-07,E106,P004,部品変更,中,申請中
B1774,2025-06-07,E108,P005,図面修正,中,却下
B1775,2025-11-05,E108,P001,部品変更,高,承認済
B1776,2025-07-15,E108,P005,部品変更,中,承認待ち
B1777,2025-02-09,E106,P002,図面修正,低,申請中
B1778,2025-03-15,E102,P006,仕様変更,高,申請中
B1779,2025-08-06,E105,P001,コスト変更,低,却下
B1780,2025-06-09,E102,P005,仕様変更,中,却下
B1781,2025-04-05,E106,P005,コスト変更,低,承認済
B1782,2025-01-15,E105,P003,仕様変更,高,却下
B1783,2025-12-14,E103,P003,部品変更,中,承認待ち
B1784,2025-10-09,E108,P005,コスト変更,低,却下
B1785,2025-02-22,E102,P006,部品変更,高,承認待ち
B1786,2025-02-02,E102,P005,図面修正,高,申請中
B1787,2025-09-04,E105,P002,コスト変更,中,却下
B1788,2025-02-08,E105,P004,部品変更,高,承認待ち
B1789,2025-06-21,E105,P006,図面修正,低,申請中
B1790,2025-02-06,E108,P006,コスト変更,低,承認済
B1791,2025-12-08,E103,P003,仕様変更,高,承認待ち
B1792,2025-06-15,E103,P001,コスト変更,中,承認済
B1793,2025-01-06,E105,P001,部品変更,低,申請中
B1794,2025-10-12,E106,P005,仕様変更,中,承認待ち
B1795,2025-08-04,E102,P001,図面修正,高,承認待ち
B1796,2025-03-25,E102,P001,図面修正,低,承認済
B1797,2025-08-16,E105,P005,図面修正,低,却下
B1798,2025-05-12,E106,P001,図面修正,中,承認済
B1799,2025-09-25,E108,P004,仕様変更,中,申請中
B1800,2025-03-14,E103,P006,部品変更,中,却下
B1801,2025-01-08,E108,P006,コスト変更,中,承認待ち
B1802,2025-12-03,E103,P004,仕様変更,中,却下
B1803,2025-09-06,E105,P006,図面修正,中,却下
B1804,2025-10-14,E105,P003,部品変更,高,承認済
B1805,2025-10-04,E106,P004,図面修正,中,申請中
B1806,2025-01-16,E103,P004,部品変更,低,承認済
B1807,2025-10-18,E103,P003,コスト変更,中,申請中
B1808,2025-05-01,E106,P001,部品変更,中,申請中
B1809,2025-01-16,E105,P001,コスト変更,中,申請中
B1810,2025-01-09,E103,P003,図面修正,低,承認待ち
B1811,2025-02-23,E105,P002,部品変更,中,申請中
B1812,2025-05-08,E102,P004,図面修正,高,却下
B1813,2025-07-13,E102,P003,図面修正,低,承認済
B1814,2025-03-19,E106,P006,図面修正,低,承認待ち
B1815,2025-11-25,E103,P003,部品変更,中,承認待ち
B1816,2025-05-10,E102,P003,コスト変更,低,承認待ち
B1817,2025-07-26,E106,P001,部品変更,低,却下
B1818,2025-12-11,E108,P006,図面修正,中,承認済
B1819,2025-07-15,E106,P004,コスト変更,高,申請中
B1820,2025-07-03,E103,P005,図面修正,高,承認済
B1821,2025-03-20,E108,P005,図面修正,高,却下
B1822,2025-03-13,E102,P004,コスト変更,高,申請中
B1823,2025-01-09,E102,P003,仕様変更,中,却下
B1824,2025-12-11,E102,P001,仕様変更,低,承認待ち
B1825,2025-09-05,E108,P006,コスト変更,高,承認待ち
B1826,2025-11-21,E103,P003,図面修正,低,申請中
B1827,2025-08-20,E103,P001,仕様変更,高,承認待ち
B1828,2025-10-04,E108,P001,部品変更,高,申請中
B1829,2025-08-01,E108,P004,コスト変更,高,申請中
B1830,2025-05-13,E106,P002,部品変更,低,承認済
B1831,2025-10-22,E106,P006,仕様変更,中,承認待ち
B1832,2025-11-01,E103,P002,部品変更,高,承認待ち
B1833,2025-08-16,E105,P003,仕様変更,低,却下
B1834,2025-06-22,E105,P004,コスト変更,低,申請中
B1835,2025-08-14,E106,P002,仕様変更,中,却下
B1836,2025-02-19,E106,P001,図面修正,高,却下
B1837,2025-01-12,E103,P004,コスト変更,中,申請中
B1838,2025-03-12,E108,P005,部品変更,中,却下
B1839,2025-09-03,E103,P006,部品変更,中,承認済
B1840,2025-08-23,E103,P003,図面修正,中,申請中
B1841,2025-11-16,E106,P004,部品変更,低,承認済
B1842,2025-03-23,E105,P005,図面修正,低,却下
B1843,2025-02-02,E102,P006,部品変更,高,申請中
B1844,2025-11-04,E106,P006,コスト変更,中,承認待ち
B1845,2025-12-26,E103,P001,部品変更,低,却下
B1846,2025-07-03,E102,P005,図面修正,高,申請中
B1847,2025-12-03,E106,P003,仕様変更,高,承認済
B1848,2025-02-23,E106,P004,部品変更,低,承認待ち
B1849,2025-04-09,E106,P004,図面修正,高,承認待ち
B1850,2025-12-06,E106,P005,部品変更,高,申請中
B1851,2025-11-22,E102,P002,仕様変更,高,申請中
B1852,2025-06-25,E106,P005,仕様変更,中,承認待ち
B1853,2025-11-24,E108,P004,部品変更,高,却下
B1854,2025-09-12,E105,P005,部品変更,高,却下
B1855,2025-07-21,E106,P001,仕様変更,高,承認済
B1856,2025-02-04,E106,P002,仕様変更,低,承認済
B1857,2025-01-08,E105,P003,コスト変更,低,承認済
B1858,2025-02-28,E103,P003,仕様変更,低,承認待ち
B1859,2025-09-20,E108,P003,コスト変更,低,申請中
B1860,2025-09-23,E102,P005,コスト変更,中,申請中
B1861,2025-01-11,E106,P003,部品変更,中,申請中
B1862,2025-03-07,E108,P006,図面修正,低,申請中
B1863,2025-04-16,E102,P005,仕様変更,中,申請中
B1864,2025-07-20,E108,P001,コスト変更,高,承認済
B1865,2025-12-02,E102,P001,コスト変更,低,承認待ち
B1866,2025-11-12,E106,P004,図面修正,高,申請中
B1867,2025-01-01,E103,P005,コスト変更,低,申請中
B1868,2025-09-16,E102,P004,コスト変更,低,承認待ち
B1869,2025-07-23,E106,P005,部品変更,高,却下
B1870,2025-02-20,E105,P003,部品変更,中,却下
B1871,2025-01-08,E103,P001,仕様変更,高,却下
B1872,2025-12-25,E108,P005,仕様変更,高,承認待ち
B1873,2025-01-03,E102,P002,コスト変更,高,承認済
B1874,2025-01-11,E105,P005,部品変更,中,承認待ち
B1875,2025-10-13,E106,P006,仕様変更,低,申請中
B1876,2025-02-09,E108,P002,コスト変更,低,承認済
B1877,2025-04-15,E105,P003,図面修正,低,承認待ち
B1878,2025-09-09,E105,P006,仕様変更,高,承認済
B1879,2025-07-23,E108,P004,図面修正,高,承認待ち
B1880,2025-03-27,E108,P002,図面修正,低,承認待ち
B1881,2025-02-12,E103,P001,部品変更,低,却下
B1882,2025-11-25,E106,P001,仕様変更,中,申請中
B1883,2025-05-09,E108,P004,図面修正,高,申請中
B1884,2025-05-28,E108,P004,コスト変更,高,却下
B1885,2025-07-15,E102,P002,部品変更,中,承認待ち
B1886,2025-11-14,E108,P001,図面修正,高,承認済
B1887,2025-01-20,E105,P003,部品変更,高,承認済
B1888,2025-12-27,E108,P004,コスト変更,低,申請中
B1889,2025-02-18,E106,P006,図面修正,低,却下
B1890,2025-07-19,E108,P005,図面修正,高,却下
B1891,2025-08-24,E103,P002,仕様変更,中,承認済
B1892,2025-02-08,E108,P003,図面修正,低,却下
B1893,2025-01-20,E105,P003,図面修正,低,承認済
B1894,2025-11-26,E108,P001,仕様変更,中,承認済
B1895,2025-05-28,E103,P004,コスト変更,高,却下
B1896,2025-01-15,E102,P003,コスト変更,低,承認待ち
B1897,2025-07-02,E108,P001,図面修正,低,承認済
B1898,2025-02-15,E103,P003,図面修正,中,却下
B1899,2025-03-08,E103,P002,仕様変更,高,申請中
B1900,2025-11-02,E103,P006,コスト変更,低,承認済
B1901,2025-01-18,E103,P001,図面修正,中,申請中
B1902,2025-11-28,E105,P005,仕様変更,低,承認待ち
B1903,2025-06-04,E102,P005,コスト変更,高,申請中
B1904,2025-04-07,E105,P005,図面修正,低,却下
B1905,2025-02-21,E106,P003,部品変更,高,承認済
B1906,2025-10-26,E105,P003,コスト変更,低,承認済
B1907,2025-08-10,E108,P001,部品変更,中,申請中
B1908,2025-05-05,E108,P001,仕様変更,低,承認待ち
B1909,2025-06-17,E108,P005,図面修正,高,却下
B1910,2025-10-02,E103,P004,仕様変更,高,承認待ち
B1911,2025-10-17,E108,P006,コスト変更,低,申請中
B1912,2025-09-26,E102,P005,コスト変更,低,却下
B1913,2025-06-09,E103,P005,図面修正,高,承認済
B1914,2025-04-26,E105,P002,コスト変更,中,申請中
B1915,2025-12-08,E106,P006,コスト変更,中,申請中
B1916,2025-06-18,E108,P001,図面修正,低,却下
B1917,2025-10-08,E106,P004,部品変更,低,承認待ち
B1918,2025-09-08,E106,P006,部品変更,低,承認済
B1919,2025-05-11,E105,P001,仕様変更,中,却下
B1920,2025-09-05,E108,P004,部品変更,高,却下
B1921,2025-01-06,E102,P004,図面修正,低,却下
B1922,2025-12-04,E103,P001,コスト変更,高,承認待ち
B1923,2025-02-05,E108,P005,コスト変更,中,承認済
B1924,2025-03-13,E108,P002,図面修正,高,承認済
B1925,2025-06-19,E108,P005,仕様変更,低,申請中
B1926,2025-02-24,E105,P004,コスト変更,低,却下
B1927,2025-12-27,E106,P003,コスト変更,低,承認待ち
B1928,2025-12-06,E108,P005,仕様変更,高,申請中
B1929,2025-10-19,E105,P006,コスト変更,中,承認済
B1930,2025-08-06,E108,P006,図面修正,高,承認待ち
B1931,2025-05-16,E105,P001,コスト変更,中,承認済
B1932,2025-07-11,E103,P002,仕様変更,低,承認待ち
B1933,2025-07-17,E105,P005,図面修正,高,承認済
B1934,2025-05-06,E102,P003,図面修正,中,却下
B1935,2025-04-06,E105,P003,仕様変更,高,承認済
B1936,2025-03-04,E103,P005,部品変更,高,申請中
B1937,2025-09-18,E103,P001,コスト変更,高,承認済
B1938,2025-04-10,E108,P004,コスト変更,低,承認待ち
B1939,2025-08-10,E102,P006,仕様変更,中,却下
